"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 19","6,270","6,310","6,310","6,205","436.94K","-0.08%"
"2024- 09- 13","6,275","6,210","6,295","6,210","395.30K","1.29%"
"2024- 09- 12","6,195","6,180","6,200","6,160","198.41K","-0.08%"
"2024- 09- 11","6,200","6,160","6,210","6,140","306.52K","0.81%"
"2024- 09- 10","6,150","6,165","6,165","6,130","278.43K","-0.73%"
"2024- 09- 09","6,195","6,215","6,215","6,175","215.24K","-1.67%"
"2024- 09- 06","6,300","6,245","6,310","6,235","362.34K","1.12%"
"2024- 09- 05","6,230","6,230","6,255","6,200","332.34K","1.05%"
"2024- 09- 04","6,165","6,160","6,185","6,150","189.04K","-0.08%"
"2024- 09- 03","6,170","6,210","6,210","6,150","220.17K","-0.56%"
"2024- 09- 02","6,205","6,215","6,220","6,175","170.08K","-0.48%"
"2024- 08- 30","6,235","6,245","6,255","6,230","108.80K","-0.40%"
"2024- 08- 29","6,260","6,215","6,265","6,205","164.61K","0.89%"
"2024- 08- 28","6,205","6,295","6,300","6,200","296.74K","-1.19%"
"2024- 08- 27","6,280","6,300","6,300","6,265","161.67K","-0.48%"
"2024- 08- 26","6,310","6,330","6,380","6,300","751.32K","1.61%"
"2024- 08- 23","6,210","6,180","6,215","6,165","165.23K","-0.48%"
"2024- 08- 22","6,240","6,255","6,265","6,205","196.85K","0.16%"
"2024- 08- 21","6,230","6,300","6,315","6,220","345.05K","-0.48%"
"2024- 08- 20","6,260","6,285","6,335","6,230","882.76K","0.00%"
"2024- 08- 19","6,260","6,095","6,285","6,095","2.29M","3.73%"
"2024- 08- 16","6,035","5,975","6,040","5,975","249.85K","0.25%"
"2024- 08- 14","6,020","5,990","6,030","5,985","316.69K","1.35%"
"2024- 08- 13","5,940","5,940","5,955","5,925","140.32K","0.25%"
"2024- 08- 12","5,925","5,970","5,995","5,920","245.51K","-0.92%"
"2024- 08- 09","5,980","5,900","6,010","5,880","615.87K","1.79%"
"2024- 08- 08","5,875","5,880","5,895","5,860","214.01K","-0.25%"
"2024- 08- 07","5,890","5,900","5,910","5,865","262.59K","-0.08%"
"2024- 08- 06","5,895","5,925","5,965","5,895","463.58K","-0.17%"
